"id";"nombre";"comunidad_autonoma_id";"habilitada";"prefijo_postal"
"4";"Alicante";"10";"N";"03"
"2";"Álava";"17";"N";"01"
"3";"Albacete";"7";"N";"02"
"5";"Almeria";"1";"N";"04"
"6";"Avila";"8";"N";"05"
"7";"Badajoz";"11";"N";"06"
"8";"Illes Ballears";"4";"N";"07"
"9";"Barcelona";"9";"N";"08"
"10";"Burgos";"8";"N";"09"
"11";"Caceres";"11";"N";"10"
"12";"Cádiz";"1";"N";"11"
"13";"Castellón";"10";"N";"12"
"14";"Ciudad Real";"7";"N";"13"
"15";"Córdoba";"1";"N";"14"
"16";"Coruña";"12";"N";"15"
"17";"Cuenca";"7";"N";"16"
"18";"Girona";"9";"N";"17"
"19";"Granada";"1";"N";"18"
"20";"Guadalajara";"7";"N";"19"
"21";"Guipuzcoa";"17";"N";"20"
"22";"Huelva";"1";"N";"21"
"23";"Huesca";"2";"N";"22"
"24";"Jaén";"1";"N";"23"
"25";"León";"8";"N";"24"
"26";"Lleida";"9";"N";"25"
"27";"La Rioja";"13";"N";"26"
"28";"Lugo";"12";"N";"27"
"29";"Madrid";"14";"S";"28"
"30";"Málaga";"1";"N";"29"
"31";"Murcia";"15";"N";"30"
"32";"Navarra";"16";"N";"31"
"33";"Ourense";"12";"N";"32"
"34";"Asturias";"3";"N";"33"
"35";"Palencia";"8";"N";"34"
"36";"Las Palmas";"5";"N";"35"
"37";"Pontevedra";"12";"N";"36"
"38";"Salamanca";"8";"N";"37"
"39";"S.C. Tenerife";"5";"N";"38"
"40";"Cantabria";"6";"N";"39"
"41";"Segovia";"8";"N";"40"
"42";"Sevilla";"1";"N";"41"
"43";"Soria";"8";"N";"42"
"44";"Tarragona";"9";"N";"43"
"45";"Teruel";"2";"N";"44"
"46";"Toledo";"7";"N";"45"
"47";"Valencia";"10";"N";"46"
"48";"Valladolid";"8";"N";"47"
"49";"Vizcaya";"17";"N";"48"
"50";"Zamora";"8";"N";"49"
"51";"Zaragoza";"2";"S";"50"
"52";"Ceuta";"18";"N";"51"
"53";"Melilla";"19";"N";"52"
"54";"Sin definir";"20";"N";"00"
